x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,9.97624,0.00127709,0.00159517,7.08468,0.226553,0.0137343,16.4954,0
1,0,0,10.1184,-0.0977844,0.00879071,6.96695,0.220861,0.0134599,16.4088,0
2,0,0,10.2428,-0.069441,0.01037,6.7052,0.21902,0.0133749,16.3754,0
3,0,0,10.3178,-0.0412103,0.008367,6.35666,0.218342,0.0133412,16.366,0
4,0,0,10.3481,-0.0181332,0.00549464,6.00033,0.218082,0.0133267,16.3643,0
5,0,0,10.3512,-0.00432787,0.00368259,5.68073,0.217958,0.0133213,16.3616,0
6,0,0,10.3393,0.00683836,0.00230789,5.41786,0.217915,0.0133293,16.3485,0
7,0,0,10.3187,0.0139045,0.00116866,5.21897,0.21794,0.0133644,16.3075,0
8,0,0,10.2938,0.0169639,9.88555e-05,5.08258,0.218015,0.0134385,16.2232,0
9,0,0,10.2707,0.0153101,-0.000743834,4.99868,0.218072,0.0135267,16.1216,0
10,0,0,10.2548,0.0106904,-0.00120328,4.94883,0.218083,0.0135894,16.048,0
11,0,0,10.2479,0.00521608,-0.00121986,4.91312,0.218068,0.0136186,16.0125,0
12,0,0,10.249,-0.000153111,-0.000665822,4.87597,0.218049,0.0136273,16.0009,0
13,0,0,10.2688,-0.00984494,0.00145537,4.75569,0.218306,0.0136454,15.9984,0
14,0,0,10.2856,-0.0149387,0.00272702,4.65932,0.221994,0.0138723,16.0027,0
15,0,0,10.3075,-0.020831,0.0042323,4.53253,0.219796,0.0137113,16.0302,0
16,0,0,10.336,-0.0282043,0.00621688,4.36861,0.218885,0.0135466,16.1579,0
17,0,0,10.3732,-0.0379904,0.00888082,4.15783,0.218431,0.0131584,16.6001,0
18,0,0,10.4246,-0.0518876,0.0119889,3.88535,0.217797,0.0122425,17.7903,0
19,0,0,10.5158,-0.0750309,0.0152957,3.53098,0.2162,0.0106092,20.3786,0
20,0,0,10.6276,-0.107499,0.0196884,3.04477,0.213648,0.0086493,24.7012,0
21,0,0,10.7186,-0.0800398,0.0152007,2.37225,0.210897,0.00750371,28.1058,0
22,0,0,10.7506,-0.0177017,0.0129579,1.62726,0.210334,0.00744146,28.2652,0
23,0,0,10.7114,0.0164452,0.00330195,0.935361,0.212836,0.0082308,25.8585,0
0,1,0,10.0119,-0.065138,0.0034957,7.33442,0.225473,0.0129284,17.4401,0
1,1,0,10.1847,-0.350123,0.00959838,7.16649,0.219874,0.0127118,17.2968,0
2,1,0,10.3585,-0.228342,0.0106913,6.80786,0.217779,0.0126341,17.2374,0
3,1,0,10.4332,-0.109286,0.00986201,6.37798,0.217124,0.0126092,17.2195,0
4,1,0,10.4331,-0.0307423,0.00732281,5.97038,0.217249,0.0126191,17.2159,0
5,1,0,10.411,0.0141035,0.00447267,5.6237,0.217342,0.0126302,17.208,0
6,1,0,10.3785,0.0458767,0.00261642,5.34825,0.217416,0.0126625,17.17,0
7,1,0,10.3391,0.0663552,0.00122761,5.14753,0.217576,0.0127612,17.0498,0
8,1,0,10.2962,0.0720283,-0.000166694,5.02057,0.217885,0.0129838,16.7813,0
9,1,0,10.2601,0.0586255,-0.000957171,4.95655,0.218138,0.0132643,16.4455,0
10,1,0,10.2391,0.0356338,-0.00107137,4.92945,0.218252,0.0134767,16.1948,0
11,1,0,10.2333,0.0122083,-0.000549674,4.91361,0.218261,0.0135875,16.0634,0
12,1,0,10.2384,-0.00804426,0.000262184,4.89229,0.218233,0.0136277,16.0139,0
13,1,0,10.2673,-0.0413724,0.00197913,4.79595,0.218525,0.0136586,15.9991,0
14,1,0,10.2877,-0.0578631,0.00326483,4.7107,0.22216,0.0138799,16.0058,0
15,1,0,10.3122,-0.0770921,0.00492104,4.5969,0.220019,0.01371,16.048,0
16,1,0,10.3414,-0.101535,0.00703103,4.45028,0.219139,0.0134971,16.2361,0
17,1,0,10.3775,-0.133794,0.0102406,4.26402,0.218636,0.0129562,16.875,0
18,1,0,10.426,-0.18155,0.0146836,4.02716,0.217561,0.0116727,18.6385,0
19,1,0,10.4866,-0.263321,0.0187007,3.71902,0.215347,0.00935658,23.0156,0
20,1,0,10.6276,-0.371535,0.0189982,3.30371,0.210334,0.00691829,30.4026,0
21,1,0,10.576,-0.236984,0.0582356,2.72017,0.237513,0.0960665,2.47238,0
22,1,0,10.7524,-0.125657,0.0382326,1.7691,0.238491,0.107373,2.22114,0
23,1,0,10.7395,0.270374,-0.00211877,0.764564,0.211963,0.00653746,32.4228,0
0,2,0,10.0408,-0.190992,0.00372867,8.01724,0.223492,0.0111845,19.9823,0
1,2,0,10.3689,-0.702126,0.00813801,7.61791,0.217925,0.0110208,19.774,0
2,2,0,10.5637,-0.386894,0.0121135,7.00224,0.215659,0.0109572,19.6819,0
3,2,0,10.6028,-0.146033,0.0128532,6.3851,0.214686,0.0109246,19.6515,0
4,2,0,10.5436,-0.00829281,0.0111766,5.87447,0.214659,0.0109263,19.6461,0
5,2,0,10.4843,0.056665,0.00713249,5.48083,0.214867,0.0109445,19.6325,0
6,2,0,10.433,0.111865,0.00336115,5.18312,0.214894,0.0109959,19.5431,0
7,2,0,10.3733,0.150494,0.000747042,4.98022,0.215145,0.0111801,19.2435,0
8,2,0,10.3039,0.16176,-0.00192561,4.87653,0.216186,0.0117297,18.4306,0
9,2,0,10.2464,0.121789,-0.00414691,4.86425,0.217255,0.0124918,17.3917,0
10,2,0,10.2191,0.0692839,-0.0041405,4.89182,0.217944,0.0130965,16.6414,0
11,2,0,10.2155,0.0225168,-0.00294597,4.91942,0.218184,0.0134412,16.2325,0
12,2,0,10.2229,-0.0144454,-0.00169497,4.93066,0.218214,0.0135846,16.0634,0
13,2,0,10.2361,-0.0448317,-0.000424565,4.91868,0.218282,0.0136327,16.0116,0
14,2,0,10.2693,-0.100678,0.00268382,4.81556,0.222193,0.0138759,16.0129,0
15,2,0,10.2865,-0.134029,0.00507479,4.72565,0.220059,0.0136823,16.0835,0
16,2,0,10.3047,-0.175493,0.0082926,4.6121,0.21914,0.013385,16.3721,0
17,2,0,10.3246,-0.231914,0.0133062,4.47248,0.218299,0.0126293,17.2852,0
18,2,0,10.3386,-0.307839,0.0187212,4.31166,0.216822,0.0110069,19.6988,0
19,2,0,10.3071,-0.403115,0.0262773,4.15489,0.213792,0.00827763,25.8278,0
20,2,0,10.2786,-0.415787,0.0732162,3.87254,0.23786,0.0806425,2.94957,0
