x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,10.0,5.28132e-08,-8.25242e-08,3.45995e-05,0.227,0.0141895,15.9977,0
1,0,0,10.0,1.7914e-07,-6.96095e-09,3.36139e-05,0.221488,0.013845,15.9977,0
2,0,0,10.0,2.09637e-07,-1.07864e-07,3.43243e-05,0.219206,0.0137023,15.9977,0
3,0,0,10.0,2.41228e-07,-1.8756e-07,3.56803e-05,0.218259,0.0136432,15.9977,0
4,0,0,10.0,2.67365e-07,-2.549e-07,3.73541e-05,0.217866,0.0136186,15.9977,0
5,0,0,10.0,2.93497e-07,-3.15298e-07,3.91621e-05,0.217702,0.0136083,15.9977,0
6,0,0,10.0,3.02496e-07,-3.65714e-07,4.10069e-05,0.217634,0.0136041,15.9977,0
7,0,0,10.0,2.97202e-07,-4.01465e-07,4.27949e-05,0.217606,0.0136023,15.9977,0
8,0,0,10.0,2.91142e-07,-4.25376e-07,4.44585e-05,0.21764,0.0136044,15.9977,0
9,0,0,10.0,2.76708e-07,-4.60047e-07,4.5943e-05,0.217822,0.0136158,15.9977,0
10,0,0,10.0,2.60398e-07,-4.91197e-07,4.71315e-05,0.217714,0.013609,15.9977,0
11,0,0,10.0,2.54522e-07,-5.01036e-07,4.78938e-05,0.217652,0.0136052,15.9977,0
12,0,0,10.0,2.50979e-07,-4.93218e-07,4.8263e-05,0.217617,0.013603,15.9977,0
13,0,0,10.0,2.43826e-07,-5.15709e-07,4.84307e-05,0.218051,0.0136301,15.9977,0
14,0,0,10.0,2.02607e-07,-5.31413e-07,4.77358e-05,0.217691,0.0136076,15.9977,0
15,0,0,10.0,1.85375e-07,-5.26727e-07,4.66571e-05,0.217635,0.0136041,15.9977,0
16,0,0,10.0,1.71212e-07,-5.1798e-07,4.51163e-05,0.217653,0.0136053,15.9977,0
17,0,0,10.0,1.55414e-07,-5.13272e-07,4.31772e-05,0.217926,0.0136223,15.9977,0
18,0,0,10.0,1.23797e-07,-4.63314e-07,4.0818e-05,0.217757,0.0136117,15.9977,0
19,0,0,10.0,1.28201e-07,-4.60143e-07,3.79937e-05,0.217669,0.0136063,15.9977,0
20,0,0,10.0,1.57317e-07,-4.42414e-07,3.47402e-05,0.217626,0.0136035,15.9977,0
21,0,0,10.0,1.98293e-07,-4.03485e-07,3.10909e-05,0.217605,0.0136022,15.9977,0
22,0,0,10.0,1.53592e-07,-4.02415e-07,2.62543e-05,0.217594,0.0136016,15.9977,0
23,0,0,10.0,4.02737e-08,-4.2004e-07,2.01449e-05,0.21759,0.0136013,15.9977,0
0,1,0,10.0,1.01644e-07,-8.01288e-08,3.40579e-05,0.227065,0.0141936,15.9977,0
1,1,0,10.0,3.46586e-07,6.8579e-08,3.32317e-05,0.221607,0.0138524,15.9977,0
2,1,0,10.0,4.17655e-07,-2.61801e-08,3.38806e-05,0.219359,0.0137119,15.9977,0
3,1,0,10.0,4.85987e-07,-9.41178e-08,3.51404e-05,0.218431,0.0136539,15.9977,0
4,1,0,10.0,5.49837e-07,-1.52743e-07,3.6722e-05,0.218047,0.0136299,15.9977,0
5,1,0,10.0,5.95968e-07,-2.05418e-07,3.84474e-05,0.217888,0.0136199,15.9977,0
6,1,0,10.0,6.15954e-07,-2.51123e-07,4.02026e-05,0.217822,0.0136158,15.9977,0
7,1,0,10.0,6.1819e-07,-2.88248e-07,4.18993e-05,0.217795,0.0136141,15.9977,0
8,1,0,10.0,5.94366e-07,-3.17688e-07,4.34667e-05,0.217829,0.0136162,15.9977,0
9,1,0,10.0,5.73556e-07,-3.60057e-07,4.48652e-05,0.218008,0.0136274,15.9977,0
10,1,0,10.0,5.66552e-07,-4.01483e-07,4.60003e-05,0.217901,0.0136208,15.9977,0
11,1,0,10.0,5.51422e-07,-4.18071e-07,4.67427e-05,0.21784,0.0136169,15.9977,0
12,1,0,10.0,5.31354e-07,-4.18856e-07,4.71176e-05,0.217807,0.0136148,15.9977,0
13,1,0,10.0,5.18377e-07,-4.45012e-07,4.72733e-05,0.218229,0.0136413,15.9977,0
14,1,0,10.0,4.4353e-07,-4.8145e-07,4.6571e-05,0.217878,0.0136193,15.9977,0
15,1,0,10.0,4.11415e-07,-4.81948e-07,4.55077e-05,0.217823,0.0136159,15.9977,0
16,1,0,10.0,3.76553e-07,-4.77798e-07,4.39998e-05,0.217842,0.013617,15.9977,0
17,1,0,10.0,3.43578e-07,-4.83396e-07,4.20972e-05,0.218108,0.0136337,15.9977,0
18,1,0,10.0,2.50358e-07,-4.36866e-07,3.97803e-05,0.217942,0.0136233,15.9977,0
19,1,0,10.0,2.59526e-07,-4.43375e-07,3.70135e-05,0.217857,0.013618,15.9977,0
20,1,0,10.0,2.91606e-07,-4.27499e-07,3.37529e-05,0.217815,0.0136153,15.9977,0
21,1,0,10.0,3.72269e-07,-4.32261e-07,2.99085e-05,0.217794,0.0136141,15.9977,0
22,1,0,10.0,2.61601e-07,-4.38244e-07,2.52066e-05,0.217784,0.0136134,15.9977,0
23,1,0,10.0,9.08873e-08,-4.58516e-07,1.95383e-05,0.217779,0.0136132,15.9977,0
0,2,0,10.0,1.19644e-07,-6.40552e-08,3.39704e-05,0.227065,0.0141936,15.9977,0
1,2,0,10.0,2.42193e-07,5.98533e-08,3.31438e-05,0.221608,0.0138525,15.9977,0
2,2,0,10.0,3.24959e-07,-4.37095e-08,3.37914e-05,0.21936,0.0137119,15.9977,0
3,2,0,10.0,4.02948e-07,-1.30179e-07,3.50486e-05,0.218432,0.013654,15.9977,0
4,2,0,10.0,4.44314e-07,-1.91227e-07,3.66104e-05,0.218049,0.01363,15.9977,0
5,2,0,10.0,4.76595e-07,-2.42842e-07,3.83024e-05,0.217889,0.01362,15.9977,0
6,2,0,10.0,4.64561e-07,-2.91029e-07,3.9997e-05,0.217824,0.0136159,15.9977,0
7,2,0,10.0,4.42583e-07,-3.24068e-07,4.1624e-05,0.217797,0.0136142,15.9977,0
8,2,0,10.0,4.10059e-07,-3.54898e-07,4.31045e-05,0.21783,0.0136163,15.9977,0
9,2,0,10.0,3.40698e-07,-4.00367e-07,4.44139e-05,0.218009,0.0136275,15.9977,0
10,2,0,10.0,3.13208e-07,-4.44856e-07,4.54882e-05,0.217903,0.0136209,15.9977,0
11,2,0,10.0,2.91298e-07,-4.66208e-07,4.6187e-05,0.217842,0.013617,15.9977,0
12,2,0,10.0,2.82176e-07,-4.59357e-07,4.6534e-05,0.217808,0.013615,15.9977,0
13,2,0,10.0,2.40136e-07,-4.84e-07,4.66461e-05,0.218231,0.0136414,15.9977,0
14,2,0,10.0,1.70359e-07,-5.12737e-07,4.58482e-05,0.217879,0.0136194,15.9977,0
15,2,0,10.0,1.47594e-07,-5.06526e-07,4.47458e-05,0.217825,0.013616,15.9977,0
16,2,0,10.0,1.25829e-07,-4.9671e-07,4.32079e-05,0.217843,0.0136171,15.9977,0
17,2,0,10.0,9.91875e-08,-4.92356e-07,4.12803e-05,0.21811,0.0136338,15.9977,0
18,2,0,10.0,-5.858e-09,-4.45458e-07,3.89481e-05,0.217944,0.0136234,15.9977,0
19,2,0,10.0,1.48535e-08,-4.45186e-07,3.61812e-05,0.217859,0.0136181,15.9977,0
20,2,0,10.0,2.86226e-08,-4.3732e-07,3.29277e-05,0.217816,0.0136155,15.9977,0
