x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,10.0,-1.17651e-07,-3.7775e-07,0.000129645,0.227158,0.0141994,15.9977,0
1,0,0,10.0,9.90765e-07,2.94013e-07,0.000127168,0.221754,0.0138616,15.9977,0
2,0,0,9.99999,1.0294e-06,9.29062e-08,0.000129792,0.219533,0.0137228,15.9977,0
3,0,0,9.99999,8.01898e-07,-2.91643e-07,0.000130334,0.21862,0.0136657,15.9977,0
4,0,0,9.99999,6.52299e-07,-7.62168e-07,0.000130409,0.218244,0.0136422,15.9977,0
5,0,0,9.99999,6.33109e-07,-1.02832e-06,0.0001297,0.218088,0.0136324,15.9977,0
6,0,0,9.99999,4.56809e-07,-1.02097e-06,0.000128645,0.218025,0.0136285,15.9977,0
7,0,0,9.99999,5.08412e-07,-1.13503e-06,0.000126775,0.217998,0.0136268,15.9977,0
8,0,0,9.99999,4.66984e-07,-1.17504e-06,0.000124197,0.217988,0.0136262,15.9977,0
9,0,0,9.99999,3.87492e-07,-1.18957e-06,0.000120676,0.217982,0.0136258,15.9977,0
10,0,0,9.99999,4.09326e-07,-1.21576e-06,0.000116297,0.217981,0.0136257,15.9977,0
11,0,0,9.99999,3.57074e-07,-1.20796e-06,0.00011143,0.21798,0.0136257,15.9977,0
12,0,0,9.99999,4.0953e-07,-1.1894e-06,0.000106165,0.21798,0.0136257,15.9977,0
13,0,0,9.99999,3.2229e-07,-1.13987e-06,0.000100765,0.217979,0.0136256,15.9977,0
14,0,0,9.99999,2.95168e-07,-9.70953e-07,8.88484e-05,0.221702,0.0138583,15.9977,0
15,0,0,9.99999,2.15214e-07,-9.01853e-07,8.22435e-05,0.219512,0.0137214,15.9977,0
16,0,0,9.99999,2.48421e-07,-8.64727e-07,7.53717e-05,0.218611,0.0136651,15.9977,0
17,0,0,9.99999,2.08384e-07,-8.09435e-07,6.83562e-05,0.21824,0.0136419,15.9977,0
18,0,0,9.99999,1.59393e-07,-7.48573e-07,6.1188e-05,0.218087,0.0136324,15.9977,0
19,0,0,9.99999,1.31711e-07,-6.97136e-07,5.39815e-05,0.218024,0.0136284,15.9977,0
20,0,0,9.99999,9.08133e-08,-6.40655e-07,4.67553e-05,0.217998,0.0136268,15.9977,0
21,0,0,9.99999,5.4948e-08,-5.76623e-07,3.9349e-05,0.217987,0.0136261,15.9977,0
22,0,0,9.99999,4.21141e-08,-5.51927e-07,3.19542e-05,0.217983,0.0136259,15.9977,0
23,0,0,10.0,4.48398e-08,-5.74586e-07,2.42702e-05,0.217981,0.0136257,15.9977,0
0,1,0,10.0,-3.57836e-07,-3.53106e-07,0.000122496,0.227221,0.0142033,15.9977,0
1,1,0,10.0,3.19366e-06,5.95625e-07,0.000120926,0.22187,0.0138688,15.9977,0
2,1,0,10.0,3.02091e-06,5.22705e-07,0.000123165,0.219683,0.0137321,15.9977,0
3,1,0,9.99999,2.36321e-06,1.75238e-07,0.00012359,0.218787,0.0136761,15.9977,0
4,1,0,9.99999,2.14039e-06,-2.79579e-07,0.000123556,0.21842,0.0136532,15.9977,0
5,1,0,9.99999,2.06881e-06,-5.37879e-07,0.000122877,0.218269,0.0136437,15.9977,0
6,1,0,9.99999,1.67443e-06,-5.57415e-07,0.000121763,0.218208,0.0136399,15.9977,0
7,1,0,9.99999,1.56044e-06,-6.46824e-07,0.000120074,0.218182,0.0136383,15.9977,0
8,1,0,9.99999,1.46277e-06,-7.22099e-07,0.000117591,0.218172,0.0136377,15.9977,0
9,1,0,9.99999,1.37931e-06,-7.8942e-07,0.000114279,0.218167,0.0136374,15.9977,0
10,1,0,9.99999,1.33697e-06,-8.49701e-07,0.000110275,0.218166,0.0136373,15.9977,0
11,1,0,9.99999,1.25152e-06,-8.94323e-07,0.000105798,0.218165,0.0136373,15.9977,0
12,1,0,9.99999,1.18251e-06,-8.94385e-07,0.000101049,0.218165,0.0136372,15.9977,0
13,1,0,9.99999,1.02759e-06,-9.0623e-07,9.61039e-05,0.218164,0.0136372,15.9977,0
14,1,0,9.99999,7.05072e-07,-8.1903e-07,8.51722e-05,0.221819,0.0138656,15.9977,0
15,1,0,10.0,5.64308e-07,-8.08629e-07,7.8952e-05,0.219661,0.0137308,15.9977,0
16,1,0,10.0,5.29168e-07,-7.75701e-07,7.25358e-05,0.218778,0.0136756,15.9977,0
17,1,0,10.0,3.97159e-07,-7.47515e-07,6.59173e-05,0.218416,0.013653,15.9977,0
18,1,0,10.0,2.97811e-07,-7.22023e-07,5.91184e-05,0.218268,0.0136437,15.9977,0
19,1,0,10.0,1.99666e-07,-6.84894e-07,5.22757e-05,0.218207,0.0136399,15.9977,0
20,1,0,10.0,7.09318e-08,-6.6364e-07,4.53867e-05,0.218182,0.0136383,15.9977,0
21,1,0,10.0,-4.25506e-08,-6.16556e-07,3.8275e-05,0.218171,0.0136377,15.9977,0
22,1,0,10.0,-2.73921e-08,-6.18825e-07,3.10049e-05,0.218167,0.0136374,15.9977,0
23,1,0,10.0,9.90396e-09,-6.27893e-07,2.33593e-05,0.218165,0.0136373,15.9977,0
0,2,0,10.0,-8.17849e-07,-2.52856e-08,0.000116857,0.227221,0.0142034,15.9977,0
1,2,0,10.0,3.06315e-06,3.013e-07,0.000113965,0.221871,0.0138689,15.9977,0
2,2,0,10.0,2.59708e-06,1.40307e-07,0.000115668,0.219684,0.0137322,15.9977,0
3,2,0,10.0,1.68431e-06,3.40537e-07,0.000116402,0.218789,0.0136762,15.9977,0
4,2,0,9.99999,1.24653e-06,-1.6762e-07,0.00011612,0.218422,0.0136533,15.9977,0
5,2,0,9.99999,9.98686e-07,-4.02049e-07,0.000115383,0.21827,0.0136438,15.9977,0
6,2,0,9.99999,6.30374e-07,-4.01793e-07,0.000114196,0.218209,0.01364,15.9977,0
7,2,0,9.99999,4.9002e-07,-5.13769e-07,0.000112472,0.218184,0.0136384,15.9977,0
8,2,0,9.99999,3.85229e-07,-5.86106e-07,0.000110041,0.218174,0.0136378,15.9977,0
9,2,0,9.99999,3.90851e-07,-6.46563e-07,0.000106904,0.218168,0.0136375,15.9977,0
10,2,0,9.99999,3.99915e-07,-7.22782e-07,0.000103168,0.218167,0.0136374,15.9977,0
11,2,0,9.99999,4.43133e-07,-7.64318e-07,9.90681e-05,0.218167,0.0136374,15.9977,0
12,2,0,9.99999,4.0746e-07,-7.91444e-07,9.47755e-05,0.218166,0.0136373,15.9977,0
13,2,0,9.99999,3.06789e-07,-7.93313e-07,9.0358e-05,0.218165,0.0136373,15.9977,0
14,2,0,9.99999,6.9329e-08,-7.5432e-07,8.0521e-05,0.22182,0.0138657,15.9977,0
15,2,0,9.99999,-2.79737e-08,-7.28944e-07,7.48288e-05,0.219662,0.0137308,15.9977,0
16,2,0,10.0,-9.61679e-08,-7.04424e-07,6.89358e-05,0.218779,0.0136757,15.9977,0
17,2,0,10.0,-1.46124e-07,-6.91459e-07,6.27856e-05,0.218418,0.0136531,15.9977,0
18,2,0,10.0,-1.27859e-07,-6.68963e-07,5.64463e-05,0.218269,0.0136438,15.9977,0
19,2,0,10.0,-2.20802e-07,-6.42266e-07,5.00896e-05,0.218209,0.01364,15.9977,0
20,2,0,10.0,-3.53113e-07,-6.22996e-07,4.36531e-05,0.218183,0.0136384,15.9977,0
21,2,0,10.0,-4.41175e-07,-6.15088e-07,3.69269e-05,0.218173,0.0136378,15.9977,0
22,2,0,10.0,-4.20814e-07,-6.30051e-07,2.97348e-05,0.218169,0.0136375,15.9977,0
23,2,0,10.0,-4.39921e-07,-6.54163e-07,2.21923e-05,0.218167,0.0136374,15.9977,0
0,3,0,10.0,-1.0112e-06,-1.13133e-07,0.000109964,0.227221,0.0142034,15.9977,0
1,3,0,10.0,3.18944e-06,2.15243e-07,0.000105989,0.221871,0.0138689,15.9977,0
2,3,0,10.0,2.48825e-06,1.58829e-07,0.000106912,0.219684,0.0137322,15.9977,0
3,3,0,10.0,1.70839e-06,-2.62218e-08,0.000107749,0.218789,0.0136762,15.9977,0
4,3,0,10.0,1.08559e-06,-4.1675e-07,0.00010748,0.218422,0.0136533,15.9977,0
5,3,0,10.0,4.97582e-07,-4.495e-07,0.000106804,0.21827,0.0136438,15.9977,0
6,3,0,10.0,2.03856e-07,-5.90826e-07,0.000105614,0.218209,0.01364,15.9977,0
7,3,0,10.0,4.16391e-08,-6.94198e-07,0.000103819,0.218184,0.0136384,15.9977,0
8,3,0,10.0,-1.48373e-08,-7.3671e-07,0.000101373,0.218174,0.0136378,15.9977,0
9,3,0,10.0,-3.3352e-08,-7.95878e-07,9.83226e-05,0.218168,0.0136375,15.9977,0
10,3,0,10.0,1.07412e-07,-8.38657e-07,9.47888e-05,0.218167,0.0136374,15.9977,0
11,3,0,10.0,2.30514e-07,-8.60056e-07,9.10345e-05,0.218167,0.0136374,15.9977,0
12,3,0,9.99999,2.14091e-07,-8.62834e-07,8.72435e-05,0.218166,0.0136373,15.9977,0
13,3,0,9.99999,9.52946e-08,-8.4356e-07,8.3442e-05,0.218165,0.0136373,15.9977,0
14,3,0,9.99999,-2.02747e-07,-7.67401e-07,7.49089e-05,0.22182,0.0138657,15.9977,0
15,3,0,10.0,-3.08683e-07,-7.40076e-07,6.99028e-05,0.219662,0.0137308,15.9977,0
16,3,0,10.0,-3.71046e-07,-7.12588e-07,6.45692e-05,0.218779,0.0136757,15.9977,0
17,3,0,10.0,-3.79985e-07,-6.82463e-07,5.89129e-05,0.218418,0.0136531,15.9977,0
18,3,0,10.0,-3.53051e-07,-6.29355e-07,5.30815e-05,0.218269,0.0136438,15.9977,0
19,3,0,10.0,-4.98837e-07,-6.11408e-07,4.73337e-05,0.218209,0.01364,15.9977,0
20,3,0,10.0,-6.62446e-07,-6.10387e-07,4.15323e-05,0.218183,0.0136384,15.9977,0
21,3,0,10.0,-7.89221e-07,-5.72517e-07,3.52439e-05,0.218173,0.0136378,15.9977,0
22,3,0,10.0,-8.45092e-07,-5.98998e-07,2.83937e-05,0.218169,0.0136375,15.9977,0
23,3,0,10.0,-9.03654e-07,-6.42243e-07,2.12155e-05,0.218167,0.0136374,15.9977,0
0,4,0,10.0,-1.11452e-06,-8.94503e-08,0.000100839,0.227221,0.0142034,15.9977,0
1,4,0,10.0,3.44985e-06,3.68673e-07,9.71092e-05,0.221871,0.0138689,15.9977,0
2,4,0,10.0,2.36966e-06,-8.11646e-08,9.74713e-05,0.219684,0.0137322,15.9977,0
3,4,0,10.0,1.52829e-06,-2.77773e-07,9.80888e-05,0.218789,0.0136762,15.9977,0
4,4,0,10.0,7.73746e-07,-3.33669e-07,9.80658e-05,0.218422,0.0136533,15.9977,0
5,4,0,10.0,3.36418e-07,-5.27137e-07,9.74673e-05,0.21827,0.0136438,15.9977,0
6,4,0,10.0,8.1002e-08,-6.64767e-07,9.62353e-05,0.218209,0.01364,15.9977,0
7,4,0,10.0,-5.24502e-08,-7.28261e-07,9.43828e-05,0.218184,0.0136384,15.9977,0
8,4,0,10.0,-1.17641e-07,-7.82484e-07,9.19247e-05,0.218174,0.0136378,15.9977,0
9,4,0,10.0,-7.89843e-08,-8.06263e-07,8.89093e-05,0.218168,0.0136375,15.9977,0
10,4,0,10.0,-3.02941e-09,-8.34872e-07,8.54691e-05,0.218167,0.0136374,15.9977,0
11,4,0,10.0,2.50217e-08,-8.53742e-07,8.20152e-05,0.218167,0.0136374,15.9977,0
12,4,0,10.0,1.95949e-08,-8.35588e-07,7.88086e-05,0.218166,0.0136373,15.9977,0
13,4,0,10.0,-2.74667e-08,-8.09052e-07,7.57965e-05,0.218165,0.0136373,15.9977,0
14,4,0,10.0,-3.33868e-07,-6.95322e-07,6.88634e-05,0.22182,0.0138657,15.9977,0
15,4,0,10.0,-4.55821e-07,-6.7959e-07,6.46066e-05,0.219662,0.0137308,15.9977,0
16,4,0,10.0,-5.01069e-07,-6.71228e-07,5.98551e-05,0.218779,0.0136757,15.9977,0
17,4,0,10.0,-5.35759e-07,-6.58604e-07,5.4652e-05,0.218418,0.0136531,15.9977,0
18,4,0,10.0,-6.5561e-07,-6.43787e-07,4.94008e-05,0.218269,0.0136438,15.9977,0
19,4,0,10.0,-7.54528e-07,-5.8115e-07,4.44048e-05,0.218209,0.01364,15.9977,0
20,4,0,10.0,-8.95992e-07,-5.38438e-07,3.9358e-05,0.218183,0.0136384,15.9977,0
21,4,0,10.0,-1.09917e-06,-5.28378e-07,3.36893e-05,0.218173,0.0136378,15.9977,0
22,4,0,10.0,-1.15655e-06,-5.55655e-07,2.72624e-05,0.218169,0.0136375,15.9977,0
23,4,0,10.0,-1.17059e-06,-6.01137e-07,2.04127e-05,0.218167,0.0136374,15.9977,0
0,5,0,10.0,-1.19004e-06,-1.35017e-07,9.06717e-05,0.227221,0.0142034,15.9977,0
1,5,0,10.0,3.61166e-06,2.72484e-07,8.74082e-05,0.221871,0.0138689,15.9977,0
2,5,0,10.0,2.2277e-06,5.26257e-08,8.76127e-05,0.219684,0.0137322,15.9977,0
3,5,0,10.0,1.236e-06,-1.82376e-07,8.81401e-05,0.218788,0.0136762,15.9977,0
4,5,0,10.0,6.0246e-07,-3.86195e-07,8.82334e-05,0.218422,0.0136533,15.9977,0
5,5,0,10.0,2.62431e-07,-5.41423e-07,8.76962e-05,0.21827,0.0136438,15.9977,0
6,5,0,10.0,7.25209e-08,-6.37153e-07,8.65069e-05,0.218209,0.01364,15.9977,0
7,5,0,10.0,-3.94895e-08,-7.15522e-07,8.46967e-05,0.218184,0.0136384,15.9977,0
8,5,0,10.0,-8.30349e-08,-7.42981e-07,8.22919e-05,0.218174,0.0136378,15.9977,0
