x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,10.0,-7.55135e-08,-2.47648e-07,0.000140455,0.227,0.0141895,15.9977,0
1,0,0,10.0,1.12119e-06,-5.2719e-08,0.000132425,0.221488,0.013845,15.9977,0
2,0,0,10.0,1.0139e-06,-2.55583e-07,0.000134325,0.219206,0.0137023,15.9977,0
3,0,0,9.99999,8.88467e-07,-4.8257e-07,0.000137489,0.218259,0.0136432,15.9977,0
4,0,0,9.99999,8.29655e-07,-9.58677e-07,0.000139641,0.217866,0.0136186,15.9977,0
5,0,0,9.99999,7.02852e-07,-1.03548e-06,0.000141736,0.217702,0.0136083,15.9977,0
6,0,0,9.99999,6.25916e-07,-1.20115e-06,0.000143385,0.217634,0.0136041,15.9977,0
7,0,0,9.99999,7.69689e-07,-1.34172e-06,0.000144058,0.217606,0.0136023,15.9977,0
8,0,0,9.99999,6.69759e-07,-1.39837e-06,0.000144115,0.21764,0.0136044,15.9977,0
9,0,0,9.99999,7.53282e-07,-1.52889e-06,0.000143279,0.217822,0.0136158,15.9977,0
10,0,0,9.99999,6.61053e-07,-1.63678e-06,0.000141363,0.217714,0.013609,15.9977,0
11,0,0,9.99999,5.52617e-07,-1.60122e-06,0.000137792,0.217652,0.0136052,15.9977,0
12,0,0,9.99999,5.84123e-07,-1.57433e-06,0.000133015,0.217618,0.0136031,15.9977,0
13,0,0,10.0,4.84076e-07,-1.54786e-06,0.000123715,0.217899,0.0136206,15.9977,0
14,0,0,10.0,4.29411e-07,-1.00662e-06,0.000118825,0.217746,0.0136111,15.9977,0
15,0,0,10.0,3.62719e-07,-1.04229e-06,0.000113215,0.217665,0.013606,15.9977,0
16,0,0,10.0,3.77397e-07,-1.06825e-06,0.00010667,0.217668,0.0136062,15.9977,0
17,0,0,10.0,3.27634e-07,-1.03065e-06,9.91984e-05,0.218079,0.0136319,15.9977,0
18,0,0,10.0,2.68432e-07,-5.09071e-07,9.04495e-05,0.21782,0.0136157,15.9977,0
19,0,0,10.0,2.49282e-07,-6.0463e-07,8.20617e-05,0.217695,0.0136079,15.9977,0
20,0,0,10.0,2.19093e-07,-6.4268e-07,7.3288e-05,0.217637,0.0136042,15.9977,0
21,0,0,10.0,1.84745e-07,-6.68771e-07,6.38008e-05,0.217609,0.0136025,15.9977,0
22,0,0,10.0,1.33645e-07,-6.79092e-07,5.33072e-05,0.217596,0.0136017,15.9977,0
23,0,0,10.0,6.02301e-08,-6.84402e-07,4.13923e-05,0.21759,0.0136013,15.9977,0
0,1,0,10.0,-2.43785e-07,-2.14814e-07,0.000132196,0.227065,0.0141936,15.9977,0
1,1,0,10.0,3.35999e-06,3.2874e-07,0.000126174,0.221607,0.0138524,15.9977,0
2,1,0,10.0,2.92242e-06,2.09085e-07,0.000127664,0.219359,0.0137119,15.9977,0
3,1,0,9.99999,2.71577e-06,-1.01279e-08,0.000130275,0.218431,0.0136539,15.9977,0
4,1,0,9.99999,2.60219e-06,-4.41662e-07,0.000132293,0.218047,0.0136299,15.9977,0
5,1,0,9.99999,2.20727e-06,-5.13608e-07,0.000134179,0.217888,0.0136199,15.9977,0
6,1,0,9.99999,2.10443e-06,-6.95246e-07,0.000135666,0.217822,0.0136158,15.9977,0
7,1,0,9.99999,2.11788e-06,-7.83953e-07,0.000136506,0.217795,0.0136141,15.9977,0
8,1,0,9.99999,2.01528e-06,-8.94332e-07,0.000136591,0.217829,0.0136162,15.9977,0
9,1,0,9.99999,1.9283e-06,-1.01638e-06,0.00013597,0.218008,0.0136274,15.9977,0
10,1,0,9.99999,1.77537e-06,-1.19303e-06,0.000134372,0.217901,0.0136208,15.9977,0
11,1,0,9.99999,1.66632e-06,-1.24728e-06,0.000131176,0.21784,0.013617,15.9977,0
12,1,0,10.0,1.61979e-06,-1.26239e-06,0.000126952,0.217808,0.0136149,15.9977,0
13,1,0,10.0,1.28442e-06,-1.27035e-06,0.000118707,0.218082,0.0136321,15.9977,0
14,1,0,10.0,9.98732e-07,-7.70441e-07,0.000114153,0.217932,0.0136227,15.9977,0
15,1,0,10.0,8.50999e-07,-8.40913e-07,0.000108808,0.217853,0.0136177,15.9977,0
16,1,0,10.0,7.76748e-07,-8.73514e-07,0.000102688,0.217856,0.0136179,15.9977,0
17,1,0,10.0,5.9387e-07,-8.7762e-07,9.55949e-05,0.218257,0.013643,15.9977,0
18,1,0,10.0,4.97629e-07,-3.55031e-07,8.73266e-05,0.218003,0.0136271,15.9977,0
19,1,0,10.0,4.27543e-07,-4.78362e-07,7.93381e-05,0.217882,0.0136196,15.9977,0
20,1,0,10.0,3.23056e-07,-5.50645e-07,7.09152e-05,0.217825,0.013616,15.9977,0
21,1,0,10.0,2.28062e-07,-6.04749e-07,6.17447e-05,0.217798,0.0136143,15.9977,0
22,1,0,10.0,1.03211e-07,-6.57857e-07,5.15499e-05,0.217786,0.0136136,15.9977,0
