x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,10.0,-1.14091e-09,-3.78872e-08,2.34544e-05,0.227158,0.0141994,15.9977,0
1,0,0,10.0,8.2623e-08,1.87649e-08,2.27487e-05,0.221754,0.0138616,15.9977,0
2,0,0,10.0,9.43913e-08,-4.26768e-08,2.32264e-05,0.219533,0.0137228,15.9977,0
3,0,0,10.0,8.71112e-08,-7.76484e-08,2.41644e-05,0.21862,0.0136657,15.9977,0
4,0,0,10.0,1.09465e-07,-1.2124e-07,2.52902e-05,0.218244,0.0136422,15.9977,0
5,0,0,10.0,1.38827e-07,-1.58559e-07,2.64644e-05,0.218088,0.0136324,15.9977,0
6,0,0,10.0,1.17788e-07,-1.73473e-07,2.7587e-05,0.218025,0.0136285,15.9977,0
7,0,0,10.0,1.34029e-07,-2.08479e-07,2.85168e-05,0.217998,0.0136268,15.9977,0
8,0,0,10.0,1.36912e-07,-2.34882e-07,2.91936e-05,0.217988,0.0136262,15.9977,0
9,0,0,10.0,1.46197e-07,-2.61227e-07,2.9572e-05,0.217982,0.0136258,15.9977,0
10,0,0,10.0,1.56544e-07,-2.88056e-07,2.96829e-05,0.217981,0.0136257,15.9977,0
11,0,0,10.0,1.6262e-07,-3.04725e-07,2.95831e-05,0.21798,0.0136257,15.9977,0
12,0,0,10.0,1.61179e-07,-3.25884e-07,2.8894e-05,0.227028,0.0141912,15.9977,0
13,0,0,10.0,1.58763e-07,-3.25738e-07,2.83063e-05,0.221701,0.0138583,15.9977,0
14,0,0,10.0,1.51863e-07,-3.24162e-07,2.752e-05,0.219512,0.0137214,15.9977,0
15,0,0,10.0,1.46801e-07,-3.24422e-07,2.65203e-05,0.218611,0.0136651,15.9977,0
16,0,0,10.0,1.42194e-07,-3.17699e-07,2.52952e-05,0.218174,0.0136378,15.9977,0
17,0,0,10.0,1.35887e-07,-3.16032e-07,2.38951e-05,0.227029,0.0141913,15.9977,0
18,0,0,10.0,1.39015e-07,-3.02043e-07,2.22799e-05,0.221702,0.0138583,15.9977,0
19,0,0,10.0,1.29762e-07,-2.9699e-07,2.04799e-05,0.219512,0.0137215,15.9977,0
20,0,0,10.0,1.16231e-07,-2.79696e-07,1.84659e-05,0.21861,0.0136651,15.9977,0
21,0,0,10.0,1.07382e-07,-2.76278e-07,1.61655e-05,0.21824,0.0136419,15.9977,0
22,0,0,10.0,1.00924e-07,-2.70267e-07,1.3536e-05,0.218087,0.0136324,15.9977,0
23,0,0,10.0,8.84521e-08,-2.63816e-07,1.05106e-05,0.218024,0.0136285,15.9977,0
0,1,0,10.0,-4.05626e-09,-4.23636e-08,2.27899e-05,0.227221,0.0142033,15.9977,0
1,1,0,10.0,2.16084e-07,4.89137e-08,2.22693e-05,0.22187,0.0138688,15.9977,0
2,1,0,10.0,2.10463e-07,-1.60165e-09,2.27019e-05,0.219683,0.0137321,15.9977,0
3,1,0,10.0,2.33583e-07,-4.75703e-08,2.35297e-05,0.218787,0.0136761,15.9977,0
4,1,0,10.0,2.68184e-07,-7.90308e-08,2.45615e-05,0.21842,0.0136532,15.9977,0
5,1,0,10.0,2.95031e-07,-1.00837e-07,2.56533e-05,0.218269,0.0136437,15.9977,0
6,1,0,10.0,3.1802e-07,-1.31596e-07,2.66778e-05,0.218208,0.0136399,15.9977,0
7,1,0,10.0,3.07174e-07,-1.50847e-07,2.75593e-05,0.218182,0.0136383,15.9977,0
8,1,0,10.0,3.16489e-07,-1.73397e-07,2.82226e-05,0.218172,0.0136377,15.9977,0
9,1,0,10.0,3.2519e-07,-2.0211e-07,2.8612e-05,0.218167,0.0136374,15.9977,0
10,1,0,10.0,3.50673e-07,-2.27457e-07,2.8763e-05,0.218166,0.0136373,15.9977,0
