x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,9.99793,0.000415132,2.23793e-06,3.70109,0.227,0.0141895,15.9977,0
1,0,0,10.0047,-0.00396293,1.49538e-05,3.69532,0.221496,0.0138455,15.9977,0
2,0,0,10.0132,-0.00426081,-5.0211e-05,3.68163,0.219227,0.0137036,15.9977,0
3,0,0,10.0229,-0.0046099,-9.56907e-05,3.65882,0.218295,0.0136454,15.9977,0
4,0,0,10.033,-0.00496942,-8.18885e-05,3.62675,0.217917,0.0136218,15.9977,0
5,0,0,10.0436,-0.00531025,-7.38985e-05,3.58522,0.217769,0.0136125,15.9977,0
6,0,0,10.0547,-0.0056375,-5.21586e-05,3.53416,0.21772,0.0136094,15.9977,0
7,0,0,10.0661,-0.00594238,-1.71504e-05,3.47385,0.21771,0.0136088,15.9977,0
8,0,0,10.0778,-0.00618419,8.70783e-06,3.4046,0.217934,0.0136228,15.9977,0
9,0,0,10.0895,-0.00639548,5.80785e-05,3.32695,0.217855,0.0136179,15.9977,0
10,0,0,10.1012,-0.00647965,9.5748e-05,3.24155,0.217815,0.0136154,15.9977,0
11,0,0,10.1126,-0.00645712,0.000151803,3.14922,0.217802,0.0136146,15.9977,0
12,0,0,10.123,-0.00628582,0.000232807,3.05153,0.217806,0.0136148,15.9977,0
13,0,0,10.1378,-0.00526439,0.000614851,2.85011,0.21808,0.013632,15.9977,0
14,0,0,10.1402,-0.00428599,0.00112188,2.7544,0.217967,0.0136249,15.9977,0
15,0,0,10.1367,-0.00288115,0.00193252,2.6691,0.21957,0.0137251,15.9977,0
16,0,0,10.1257,-0.000849992,0.00314857,2.60522,0.218576,0.0136626,15.9982,0
17,0,0,10.1029,0.00227635,0.00461338,2.57595,0.218174,0.013635,16.0011,0
18,0,0,10.0683,0.00736642,0.00667295,2.60512,0.218643,0.0136491,16.0189,0
19,0,0,9.99578,0.0155384,0.00945343,2.73117,0.2181,0.0135422,16.1052,0
20,0,0,9.87216,0.0294478,0.0177461,3.01173,0.217681,0.0132467,16.4329,0
21,0,0,9.59643,0.0603872,0.0299655,3.53804,0.216411,0.0124192,17.4255,0
22,0,0,9.13167,0.102063,0.0359242,4.46026,0.214235,0.010729,19.9678,0
23,0,0,7.26024,-0.00147354,0.449276,9.41776,0.247771,0.0217968,3.46204,0
0,1,0,9.99951,-0.000886349,-4.4399e-05,3.71102,0.227066,0.0141936,15.9977,0
1,1,0,10.006,-0.0130168,-5.94197e-05,3.70453,0.221624,0.0138535,15.9977,0
2,1,0,10.0154,-0.0139632,-0.000175278,3.69057,0.219393,0.013714,15.9977,0
3,1,0,10.0261,-0.0150158,-0.000239523,3.66777,0.218484,0.0136572,15.9977,0
4,1,0,10.0373,-0.0160789,-0.000264484,3.63582,0.218119,0.0136344,15.9977,0
5,1,0,10.049,-0.0171082,-0.000275804,3.59437,0.217979,0.0136256,15.9977,0
6,1,0,10.0611,-0.0181114,-0.000276673,3.54338,0.217934,0.0136228,15.9977,0
7,1,0,10.0736,-0.0190114,-0.000283184,3.48307,0.217927,0.0136224,15.9977,0
8,1,0,10.0863,-0.0197319,-0.000279138,3.41363,0.218164,0.0136372,15.9977,0
9,1,0,10.099,-0.020266,-0.000277278,3.33572,0.218082,0.0136321,15.9977,0
10,1,0,10.1117,-0.0204281,-0.000258377,3.24969,0.218042,0.0136296,15.9977,0
11,1,0,10.1238,-0.0201792,-0.000237805,3.15646,0.218029,0.0136288,15.9977,0
12,1,0,10.1348,-0.0194434,-0.000176088,3.05749,0.218033,0.013629,15.9977,0
13,1,0,10.1501,-0.0157055,0.000244549,2.85187,0.218312,0.0136464,15.9977,0
14,1,0,10.152,-0.0121875,0.000828869,2.75289,0.218191,0.0136389,15.9977,0
15,1,0,10.1474,-0.00718209,0.00165352,2.66324,0.219752,0.0137364,15.9977,0
16,1,0,10.134,-8.02736e-05,0.00290976,2.59335,0.21877,0.0136748,15.998,0
17,1,0,10.1072,0.0106321,0.00472826,2.55511,0.218376,0.0136487,15.9998,0
18,1,0,10.0661,0.0279818,0.00727895,2.56936,0.218838,0.013667,16.0121,0
19,1,0,9.98868,0.0550099,0.0108782,2.67082,0.218331,0.0135775,16.0804,0
20,1,0,9.85343,0.0993751,0.0186777,2.90927,0.217969,0.0133195,16.3647,0
21,1,0,9.6075,0.178195,0.0302182,3.36802,0.216814,0.0125427,17.2861,0
22,1,0,9.1792,0.294536,0.0390813,4.20214,0.214838,0.0108731,19.7587,0
23,1,0,6.94436,0.287067,0.509443,9.20936,0.248777,0.0202935,3.53028,0
0,2,0,9.99989,-0.00268773,5.70358e-05,3.72832,0.227067,0.0141937,15.9977,0
1,2,0,10.006,-0.0214075,0.00011116,3.72204,0.221632,0.013854,15.9977,0
2,2,0,10.0153,-0.0232874,8.83481e-05,3.70805,0.219406,0.0137148,15.9977,0
3,2,0,10.0258,-0.025134,7.50903e-05,3.68538,0.218499,0.0136581,15.9977,0
4,2,0,10.0369,-0.0269458,0.000103865,3.65358,0.218136,0.0136354,15.9977,0
5,2,0,10.0485,-0.0287255,0.000138251,3.61229,0.217998,0.0136268,15.9977,0
6,2,0,10.0606,-0.0304493,0.000175374,3.56144,0.217955,0.0136241,15.9977,0
7,2,0,10.0731,-0.0320128,0.00021646,3.50108,0.21795,0.0136238,15.9977,0
8,2,0,10.0859,-0.033287,0.000247073,3.43132,0.218199,0.0136394,15.9977,0
9,2,0,10.0989,-0.0341589,0.000278666,3.35274,0.218113,0.013634,15.9977,0
10,2,0,10.1121,-0.0344803,0.00030155,3.26552,0.218071,0.0136314,15.9977,0
11,2,0,10.1247,-0.0341241,0.00034748,3.17046,0.218058,0.0136305,15.9977,0
12,2,0,10.1364,-0.0329414,0.000401489,3.06901,0.21806,0.0136307,15.9977,0
13,2,0,10.1541,-0.0269981,0.000751047,2.85532,0.218348,0.0136487,15.9977,0
14,2,0,10.1579,-0.0214425,0.00129581,2.74996,0.218223,0.0136409,15.9977,0
15,2,0,10.1558,-0.0134752,0.00202846,2.65188,0.219782,0.0137383,15.9977,0
16,2,0,10.1463,-0.00210694,0.00303304,2.57058,0.218798,0.0136766,15.998,0
17,2,0,10.1256,0.0146096,0.00452526,2.51582,0.218407,0.013651,15.9993,0
18,2,0,10.0891,0.0402849,0.00668392,2.50321,0.218891,0.0136725,16.0096,0
19,2,0,10.0338,0.0795625,0.00996729,2.56333,0.218411,0.0135916,16.0696,0
20,2,0,9.92733,0.142464,0.0161428,2.735,0.218104,0.0133571,16.3287,0
21,2,0,9.73456,0.254829,0.0258069,3.08193,0.217128,0.0126262,17.1966,0
22,2,0,9.38622,0.443374,0.0342364,3.73495,0.215354,0.0109908,19.594,0
23,2,0,7.28626,0.775011,0.447674,8.21049,0.24888,0.0193412,3.48572,0
0,3,0,9.99987,-0.00436073,8.039e-05,3.7548,0.227068,0.0141938,15.9977,0
1,3,0,10.0059,-0.0302043,0.000164308,3.74889,0.221639,0.0138544,15.9977,0
2,3,0,10.015,-0.032987,0.000168006,3.73517,0.219417,0.0137155,15.9977,0
3,3,0,10.0253,-0.0356821,0.000177941,3.71281,0.218513,0.013659,15.9977,0
4,3,0,10.0362,-0.0383427,0.000226319,3.68139,0.218152,0.0136365,15.9977,0
5,3,0,10.0477,-0.0409894,0.000280453,3.6405,0.218016,0.0136279,15.9977,0
6,3,0,10.0598,-0.0435447,0.0003432,3.58996,0.217975,0.0136254,15.9977,0
7,3,0,10.0724,-0.0458736,0.000401531,3.52973,0.21797,0.013625,15.9977,0
8,3,0,10.0856,-0.0478285,0.000452437,3.45962,0.218233,0.0136415,15.9977,0
9,3,0,10.0991,-0.0491651,0.000497771,3.38006,0.218143,0.0136359,15.9977,0
10,3,0,10.1129,-0.0497448,0.000537273,3.29108,0.218099,0.0136331,15.9977,0
11,3,0,10.1264,-0.0493805,0.000592484,3.19337,0.218086,0.0136323,15.9977,0
12,3,0,10.1393,-0.0478338,0.000657349,3.08812,0.218088,0.0136324,15.9977,0
13,3,0,10.1605,-0.039841,0.00097262,2.86228,0.21839,0.0136513,15.9977,0
14,3,0,10.1669,-0.0326408,0.00145683,2.7477,0.218262,0.0136433,15.9977,0
15,3,0,10.1683,-0.0226837,0.00208976,2.63753,0.219818,0.0137406,15.9977,0
16,3,0,10.1643,-0.00790997,0.00299515,2.53956,0.218835,0.0136789,15.998,0
17,3,0,10.1515,0.0132607,0.00430455,2.4614,0.218446,0.0136535,15.9992,0
18,3,0,10.1267,0.0439736,0.00638234,2.41407,0.218937,0.0136768,16.0078,0
19,3,0,10.0917,0.0903105,0.00920887,2.41965,0.218482,0.013605,16.0589,0
20,3,0,10.0231,0.163229,0.0130207,2.5026,0.218225,0.0134008,16.2844,0
21,3,0,9.90762,0.289668,0.0199837,2.69841,0.217441,0.0127471,17.0581,0
22,3,0,9.71369,0.50985,0.0272957,3.07814,0.215954,0.0112104,19.2637,0
23,3,0,8.35296,1.30459,0.284954,5.92558,0.248124,0.0196617,3.27896,0
0,4,0,9.99981,-0.00598638,7.01985e-05,3.79073,0.227069,0.0141938,15.9977,0
1,4,0,10.0057,-0.0387731,0.000142017,3.78509,0.221646,0.0138548,15.9977,0
2,4,0,10.0144,-0.042402,0.000144003,3.77184,0.219427,0.0137162,15.9977,0
3,4,0,10.0245,-0.0460006,0.000156483,3.75008,0.218526,0.0136598,15.9977,0
4,4,0,10.0351,-0.0496059,0.000213739,3.71937,0.218167,0.0136374,15.9977,0
5,4,0,10.0464,-0.0532092,0.000265914,3.67925,0.218033,0.013629,15.9977,0
6,4,0,10.0584,-0.0566982,0.000312754,3.62939,0.217992,0.0136265,15.9977,0
7,4,0,10.0712,-0.0599248,0.00036595,3.56946,0.217989,0.0136263,15.9977,0
8,4,0,10.0848,-0.0627364,0.000410664,3.49919,0.218265,0.0136435,15.9977,0
9,4,0,10.099,-0.0647891,0.000450003,3.41852,0.218173,0.0136377,15.9977,0
10,4,0,10.1136,-0.0658926,0.000487735,3.32743,0.218128,0.013635,15.9977,0
