x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,10.0,1.77094e-08,-4.73248e-08,2.1273e-05,0.227158,0.0141994,15.9977,0
1,0,0,10.0,7.76626e-08,-1.38002e-09,2.06344e-05,0.221754,0.0138616,15.9977,0
2,0,0,10.0,9.16609e-08,-6.29377e-08,2.09847e-05,0.219533,0.0137228,15.9977,0
3,0,0,10.0,1.21839e-07,-1.07828e-07,2.1642e-05,0.21862,0.0136657,15.9977,0
4,0,0,10.0,1.44236e-07,-1.48553e-07,2.23922e-05,0.218244,0.0136422,15.9977,0
5,0,0,10.0,1.53178e-07,-1.82976e-07,2.3122e-05,0.218089,0.0136325,15.9977,0
6,0,0,10.0,1.58161e-07,-2.10277e-07,2.37707e-05,0.218025,0.0136285,15.9977,0
7,0,0,10.0,1.60125e-07,-2.31785e-07,2.42925e-05,0.217998,0.0136268,15.9977,0
8,0,0,10.0,1.60677e-07,-2.50114e-07,2.46702e-05,0.217987,0.0136261,15.9977,0
9,0,0,10.0,1.61073e-07,-2.65966e-07,2.49156e-05,0.217983,0.0136259,15.9977,0
10,0,0,10.0,1.60697e-07,-2.76527e-07,2.50626e-05,0.217981,0.0136257,15.9977,0
11,0,0,10.0,1.62473e-07,-2.83294e-07,2.51248e-05,0.21798,0.0136257,15.9977,0
12,0,0,10.0,1.63383e-07,-2.89231e-07,2.51299e-05,0.21798,0.0136257,15.9977,0
13,0,0,10.0,1.69679e-07,-3.00806e-07,2.5022e-05,0.227029,0.0141913,15.9977,0
14,0,0,10.0,1.63291e-07,-2.91836e-07,2.48578e-05,0.221702,0.0138583,15.9977,0
15,0,0,10.0,1.57386e-07,-2.90758e-07,2.45521e-05,0.219512,0.0137215,15.9977,0
16,0,0,10.0,1.50616e-07,-2.94075e-07,2.40857e-05,0.21861,0.0136651,15.9977,0
17,0,0,10.0,1.47896e-07,-2.97735e-07,2.34628e-05,0.21824,0.0136419,15.9977,0
18,0,0,10.0,1.41066e-07,-3.02744e-07,2.27044e-05,0.218087,0.0136324,15.9977,0
19,0,0,10.0,1.42985e-07,-3.02976e-07,2.17975e-05,0.218024,0.0136285,15.9977,0
20,0,0,10.0,1.65248e-07,-2.91202e-07,2.07658e-05,0.217997,0.0136268,15.9977,0
21,0,0,10.0,1.75654e-07,-2.51781e-07,1.96672e-05,0.217987,0.0136261,15.9977,0
22,0,0,10.0,2.13423e-07,-2.39377e-07,1.77004e-05,0.217983,0.0136259,15.9977,0
23,0,0,10.0,1.95214e-07,-2.50059e-07,1.41851e-05,0.217981,0.0136258,15.9977,0
0,1,0,10.0,3.13332e-08,-3.53857e-08,2.08105e-05,0.227221,0.0142033,15.9977,0
1,1,0,10.0,1.24149e-07,4.27897e-08,2.0344e-05,0.221871,0.0138689,15.9977,0
2,1,0,10.0,1.85012e-07,-5.48067e-09,2.06653e-05,0.219683,0.0137321,15.9977,0
3,1,0,10.0,2.30641e-07,-4.44158e-08,2.12727e-05,0.218787,0.0136761,15.9977,0
4,1,0,10.0,2.77835e-07,-7.90353e-08,2.19761e-05,0.21842,0.0136532,15.9977,0
5,1,0,10.0,3.05682e-07,-1.1202e-07,2.26686e-05,0.218269,0.0136438,15.9977,0
6,1,0,10.0,3.1188e-07,-1.37125e-07,2.32896e-05,0.218208,0.0136399,15.9977,0
7,1,0,10.0,3.14505e-07,-1.61449e-07,2.37983e-05,0.218182,0.0136383,15.9977,0
8,1,0,10.0,3.16409e-07,-1.80694e-07,2.41781e-05,0.218172,0.0136377,15.9977,0
9,1,0,10.0,3.1729e-07,-1.97829e-07,2.44408e-05,0.218167,0.0136374,15.9977,0
10,1,0,10.0,3.12852e-07,-2.11014e-07,2.46079e-05,0.218165,0.0136373,15.9977,0
11,1,0,10.0,3.14689e-07,-2.21151e-07,2.46961e-05,0.218165,0.0136372,15.9977,0
12,1,0,10.0,3.20802e-07,-2.33898e-07,2.47235e-05,0.218165,0.0136372,15.9977,0
13,1,0,10.0,3.33719e-07,-2.50001e-07,2.46267e-05,0.227093,0.0141953,15.9977,0
14,1,0,10.0,3.31381e-07,-2.5182e-07,2.44669e-05,0.221819,0.0138656,15.9977,0
15,1,0,10.0,3.15664e-07,-2.53305e-07,2.41493e-05,0.219662,0.0137308,15.9977,0
16,1,0,10.0,3.09045e-07,-2.58526e-07,2.36659e-05,0.218778,0.0136755,15.9977,0
17,1,0,10.0,3.03712e-07,-2.67398e-07,2.30215e-05,0.218416,0.013653,15.9977,0
18,1,0,10.0,3.0752e-07,-2.73346e-07,2.22319e-05,0.218268,0.0136437,15.9977,0
19,1,0,10.0,3.12642e-07,-2.7524e-07,2.13058e-05,0.218207,0.0136399,15.9977,0
20,1,0,10.0,3.27806e-07,-2.52148e-07,2.02155e-05,0.218181,0.0136383,15.9977,0
21,1,0,10.0,3.80643e-07,-2.39267e-07,1.89712e-05,0.218172,0.0136377,15.9977,0
22,1,0,10.0,4.07459e-07,-2.19059e-07,1.69169e-05,0.218168,0.0136374,15.9977,0
23,1,0,10.0,3.59041e-07,-2.22874e-07,1.34514e-05,0.218166,0.0136373,15.9977,0
0,2,0,10.0,2.51474e-08,-3.42514e-08,2.06867e-05,0.227221,0.0142033,15.9977,0
