x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,10.0324,-0.0280386,0.0279496,3.40793,0.239993,0.0792719,1.95261,0
1,0,0,6.48523,-0.03912,0.550756,8.10216,0.244602,0.0302032,2.22909,0
2,0,0,6.52714,-0.0312534,-0.222362,11.9528,0.240556,0.0574975,2.1076,0
3,0,0,6.7314,-0.0797271,-0.135536,14.1194,0.241051,0.027043,3.47409,0
4,0,0,7.41861,0.0809444,-0.128214,15.3372,0.239641,0.0682497,2.18717,0
5,0,0,7.02105,0.0533924,-0.136791,16.4724,0.24271,0.0443125,2.39194,0
6,0,0,7.23589,0.00549726,-0.159472,17.5314,0.245352,0.057835,2.00624,0
7,0,0,7.5327,0.0388852,-0.0700865,18.1873,0.240095,0.106508,2.25424,0
8,0,0,7.66484,-0.0145932,0.0602126,19.4337,0.241403,0.0516556,2.43142,0
9,0,0,8.38033,0.0128284,-0.0288663,18.7325,0.240294,0.0589187,2.22283,0
10,0,0,7.68154,0.0659091,-0.0446282,19.912,0.241841,0.080786,1.94813,0
11,0,0,7.71977,-0.136598,0.0597728,21.2696,0.241855,0.0377132,2.45891,0
12,0,0,8.22334,-0.0582219,0.051845,21.3785,0.240121,0.0745982,3.21886,0
13,0,0,7.91373,0.0658964,-0.0435338,21.8823,0.242145,0.0432804,1.78058,0
14,0,0,7.52869,-0.0496363,0.0527685,23.2192,0.239916,0.102292,2.34541,0
15,0,0,7.26778,-0.0630425,0.180156,25.4201,0.241052,0.0661019,2.50293,0
16,0,0,7.05486,-0.0644822,0.243373,26.3482,0.24255,0.0491311,2.58502,0
17,0,0,6.75096,-0.913894,0.475292,29.6621,0.250264,0.0131437,6.28652,0
18,0,0,7.60562,0.0686079,0.168045,29.3258,0.240686,0.0406969,2.0132,0
19,0,0,6.04261,0.202316,0.184412,31.5459,0.247161,0.0169489,2.29736,0
20,0,0,1.49026,0.242823,-0.222032,37.004,0.26193,0.0280684,3.01264,0
21,0,0,1.33362,0.481578,-0.176009,38.0795,0.273405,0.0150318,4.19017,0
22,0,0,,,,,,,,1
23,0,0,,,,,,,,1
0,1,0,2.04695,-2.53052,-0.35363,2.69177,0.197447,0.00144686,136.466,0
1,1,0,4.36058,1.40901,0.680688,7.33197,0.267055,0.00817428,3.13903,0
2,1,0,3.37774,0.367974,-0.110466,13.0497,0.296604,0.0171942,3.67842,0
3,1,0,3.36937,1.22855,0.143183,16.8965,0.242502,0.0106077,11.3029,0
4,1,0,6.9196,-0.0114883,-0.926136,15.1152,0.239097,0.0305165,5.65084,0
5,1,0,5.94798,0.445257,-0.424579,16.8225,0.242237,0.010178,8.06031,0
6,1,0,6.07677,-0.361226,-0.32695,17.662,0.2526,0.0116214,4.91411,0
7,1,0,7.44536,-0.0923449,-0.170653,18.0098,0.243711,0.0305919,2.57354,0
8,1,0,6.44351,-0.085104,0.0612152,21.1056,0.239,0.0157706,6.15119,0
9,1,0,8.00571,0.0530423,0.0415833,18.7568,0.240486,0.0532334,2.26986,0
10,1,0,6.39042,0.695089,-0.444365,18.6131,0.238373,0.00312785,26.1755,0
11,1,0,7.07805,0.402152,0.0583326,20.8958,0.242778,0.00497431,32.9779,0
12,1,0,7.81395,0.328593,0.202359,21.3725,0.241582,0.0298918,8.0819,0
13,1,0,3.89879,1.68885,-0.934318,20.3422,0.237583,0.0163814,7.63133,0
14,1,0,6.76387,-0.0795904,-0.0125999,23.3747,0.247429,0.0351224,2.7004,0
15,1,0,7.40628,-0.300964,-0.0157898,25.4025,0.242484,0.0300553,2.30993,0
16,1,0,6.98912,-0.397074,0.237778,26.8328,0.246908,0.0238293,2.66353,0
17,1,0,6.28667,-0.79802,0.909515,29.4648,0.250113,0.0111094,2.40775,0
18,1,0,7.27186,0.0565842,0.481952,28.432,0.256457,0.00859008,8.48084,0
19,1,0,2.3938,1.49584,0.219713,33.5646,0.271219,0.0116547,3.51224,0
20,1,0,0.350217,1.18537,-0.407581,36.7229,0.27007,0.026427,3.16418,0
21,1,0,1.27721,1.25522,-0.186028,37.517,0.249506,0.0287854,3.44333,0
22,1,0,,,,,,,,1
23,1,0,,,,,,,,1
0,2,0,0.401822,-1.63899,-0.14526,8.00264,0.163658,0.000425641,223.676,0
1,2,0,-1.51884,-1.13633,0.924285,10.0692,0.27064,0.00733311,4.30322,0
2,2,0,-0.0416329,-0.808052,-0.19788,13.6931,0.379677,0.0193349,5.00099,0
3,2,0,1.95314,-0.606765,0.701137,17.3958,0.228248,0.00668951,15.7473,0
4,2,0,6.66182,-0.370991,-1.26376,14.8199,0.242314,0.0376785,6.28715,0
5,2,0,5.73005,-0.24556,-0.301914,16.4952,0.253577,0.0138625,2.57238,0
6,2,0,5.78586,-0.61449,-0.0873368,19.5594,0.243219,0.0129539,4.79179,0
7,2,0,5.40368,0.714696,-0.757833,16.5609,0.243301,0.00913444,7.42407,0
8,2,0,6.63159,0.371936,0.0464575,18.3626,0.255419,0.0253879,2.78472,0
9,2,0,7.88072,0.351374,0.0551974,19.1178,0.243868,0.00774266,31.4967,0
10,2,0,7.26616,-0.126775,-0.148231,19.9955,0.250442,0.0240638,2.74195,0
11,2,0,6.41828,-0.628641,0.144593,23.2549,0.242411,0.011745,5.14123,0
12,2,0,7.55166,-1.0854,2.06811,22.665,0.249446,0.00773576,7.32494,0
13,2,0,5.19419,-0.825254,-0.687988,21.2888,0.244932,0.00802561,7.13138,0
14,2,0,7.00988,-2.11867,-0.0726831,25.1081,0.24872,0.0142653,3.82886,0
15,2,0,7.56281,-0.067778,0.152788,24.1055,0.244154,0.0210186,2.92528,0
16,2,0,6.77394,-0.0976241,0.220289,26.3642,0.246804,0.0184917,2.29374,0
17,2,0,2.85988,-0.664996,1.75957,32.8743,0.29531,0.00543286,11.8338,0
18,2,0,,,,,,,,1
19,2,0,0.270432,1.75932,-0.0887525,32.7759,0.248275,0.0336001,3.02671,0
20,2,0,-0.0265109,1.77845,-0.516769,36.098,0.264016,0.0248391,2.52136,0
21,2,0,0.819885,1.98475,-0.282608,36.9892,0.248458,0.0291027,3.32509,0
22,2,0,,,,,,,,1
23,2,0,,,,,,,,1
0,3,0,0.888227,-1.90856,0.014768,-8.28554,0.251531,0.00381639,47.9693,0
1,3,0,2.16075,-3.04148,0.612604,5.69977,0.256699,0.0109737,2.73545,0
2,3,0,3.13753,-1.96125,-0.0945239,10.883,0.259898,0.0234915,2.74426,0
3,3,0,2.88482,-3.17953,0.0735148,15.6749,0.230861,0.0147008,15.704,0
4,3,0,7.17965,-1.57343,-1.24327,12.7753,0.23903,0.0381752,6.26138,0
5,3,0,5.80386,-0.317916,0.0115119,15.616,0.255493,0.0147124,2.6489,0
6,3,0,5.60935,0.0600317,0.191173,18.9301,0.245657,0.00938445,5.32884,0
7,3,0,5.34494,0.0464717,-0.845131,15.4402,0.243168,0.00906439,7.4682,0
8,3,0,6.34235,0.104837,0.0604016,17.9852,0.253357,0.0233163,3.33249,0
9,3,0,8.45792,0.0197322,0.0120984,18.7699,0.245072,0.0124854,19.6288,0
10,3,0,7.22109,0.342354,-0.0382463,20.2652,0.243138,0.0436834,3.29554,0
11,3,0,6.24679,0.53301,0.212445,23.3805,0.242369,0.0117509,4.92927,0
12,3,0,7.23968,0.235935,-0.102326,21.9308,0.240454,0.0166419,14.4487,0
13,3,0,4.29935,-0.995406,-0.44152,22.8825,0.24075,0.0103271,8.25595,0
14,3,0,4.80626,-1.45777,-0.321211,29.0159,0.269209,0.00885462,7.82548,0
15,3,0,,,,,,,,1
16,3,0,,,,,,,,1
17,3,0,2.15571,1.34613,1.13222,17.4415,0.243541,0.00319488,17.5248,0
18,3,0,,,,,,,,1
19,3,0,0.104129,2.32519,-0.245016,32.1518,0.243617,0.0397975,2.62811,0
20,3,0,0.00633032,2.50409,-0.541521,35.4567,0.251802,0.0297556,2.2612,0
21,3,0,0.944567,2.95512,-0.350143,36.1046,0.24482,0.0231046,2.64033,0
22,3,0,,,,,,,,1
23,3,0,,,,,,,,1
0,4,0,10.0274,-0.55614,0.0330558,-1.27663,0.243176,0.00662136,2.58889,0
1,4,0,4.85429,-3.49684,0.59644,2.95541,0.245742,0.0197409,2.17985,0
2,4,0,6.21312,-2.01702,-0.171449,8.26372,0.253684,0.0184785,3.11479,0
3,4,0,5.24172,-1.7381,1.30033,14.017,0.2378,0.00402387,15.7506,0
4,4,0,8.41635,-1.02796,0.170788,11.6961,0.241943,0.01556,15.549,0
5,4,0,7.63474,-0.453628,0.145159,13.8703,0.244048,0.0375593,2.20396,0
6,4,0,8.10349,-0.128067,-0.0919754,14.7299,0.240503,0.0817552,2.44028,0
7,4,0,5.70631,-0.586555,-0.741928,15.3148,0.242909,0.00934286,7.40372,0
8,4,0,6.93319,0.332435,-0.0748278,19.0888,0.241729,0.0152715,5.1158,0
9,4,0,7.7354,0.695181,0.0325829,17.3395,0.240792,0.0697623,3.00967,0
10,4,0,7.84969,0.095194,1.26625,18.9119,0.241746,0.0164246,4.61902,0
11,4,0,7.45258,0.388349,0.0491144,18.9362,0.245259,0.0362576,4.61327,0
12,4,0,7.17466,0.811624,-0.274711,21.7726,0.241489,0.056945,2.6239,0
13,4,0,6.93153,1.26581,-0.0078494,23.2155,0.249083,0.0205767,2.14748,0
14,4,0,5.23117,1.81351,-0.253185,28.8323,0.265902,0.00735193,7.98443,0
15,4,0,7.16677,0.97317,0.126801,16.1711,0.246152,0.00859418,3.12968,0
16,4,0,8.61592,-0.163534,0.124746,16.7891,0.24172,0.0490516,2.96147,0
17,4,0,9.51862,-1.24773,0.236747,14.0604,0.240259,0.0136709,8.72099,0
18,4,0,7.46078,0.186982,0.112511,21.3666,0.246745,0.0276962,2.72725,0
