x,y,z,u,v,w,p,k,nut,omega,bm
0,0,0,10.0,-3.27569e-08,-1.55876e-07,9.24388e-05,0.227158,0.0141994,15.9977,0
1,0,0,10.0,7.75038e-07,1.50713e-07,8.67547e-05,0.221754,0.0138616,15.9977,0
2,0,0,10.0,7.06666e-07,-1.75926e-07,8.75567e-05,0.219533,0.0137228,15.9977,0
3,0,0,10.0,6.02127e-07,-3.85103e-07,8.95649e-05,0.21862,0.0136657,15.9977,0
4,0,0,9.99999,5.5966e-07,-5.70438e-07,9.15116e-05,0.218244,0.0136422,15.9977,0
5,0,0,9.99999,5.15546e-07,-7.06192e-07,9.28404e-05,0.218088,0.0136324,15.9977,0
6,0,0,9.99999,4.64288e-07,-8.08658e-07,9.32681e-05,0.218025,0.0136285,15.9977,0
7,0,0,9.99999,4.73845e-07,-8.90789e-07,9.25899e-05,0.217998,0.0136268,15.9977,0
8,0,0,9.99999,3.92786e-07,-9.31268e-07,9.08185e-05,0.217988,0.0136262,15.9977,0
9,0,0,9.99999,4.33101e-07,-9.93775e-07,8.78453e-05,0.217982,0.0136258,15.9977,0
10,0,0,9.99999,4.22692e-07,-1.01678e-06,8.39519e-05,0.217981,0.0136257,15.9977,0
11,0,0,10.0,3.76641e-07,-1.02036e-06,7.92926e-05,0.21798,0.0136257,15.9977,0
12,0,0,9.99999,2.57178e-07,-1.02517e-06,7.39873e-05,0.21798,0.0136257,15.9977,0
13,0,0,10.0,1.21256e-07,-1.0096e-06,6.88116e-05,0.227028,0.0141912,15.9977,0
14,0,0,10.0,1.01736e-07,-8.81854e-07,5.9314e-05,0.219512,0.0137214,15.9977,0
15,0,0,10.0,7.73591e-08,-8.45659e-07,5.51192e-05,0.218611,0.0136651,15.9977,0
16,0,0,10.0,9.12023e-08,-8.04313e-07,5.11874e-05,0.218174,0.0136378,15.9977,0
17,0,0,10.0,8.38282e-08,-7.62045e-07,4.74954e-05,0.227029,0.0141913,15.9977,0
18,0,0,10.0,1.27005e-07,-4.00541e-07,4.36515e-05,0.221702,0.0138583,15.9977,0
19,0,0,10.0,1.27075e-07,-4.42686e-07,4.07621e-05,0.219512,0.0137215,15.9977,0
20,0,0,10.0,1.9673e-07,-4.48999e-07,3.82857e-05,0.21861,0.0136651,15.9977,0
21,0,0,10.0,2.464e-07,-4.57391e-07,3.5302e-05,0.21824,0.0136419,15.9977,0
22,0,0,10.0,2.0983e-07,-4.70172e-07,3.09697e-05,0.218087,0.0136324,15.9977,0
23,0,0,10.0,1.33279e-07,-5.00028e-07,2.52128e-05,0.218024,0.0136285,15.9977,0
0,1,0,10.0,-1.17204e-07,-1.4352e-07,8.69027e-05,0.227221,0.0142033,15.9977,0
1,1,0,10.0,2.29388e-06,4.11299e-07,8.26069e-05,0.22187,0.0138688,15.9977,0
2,1,0,10.0,1.95362e-06,1.55083e-07,8.3266e-05,0.219683,0.0137321,15.9977,0
3,1,0,10.0,1.80155e-06,-4.25338e-08,8.48818e-05,0.218787,0.0136761,15.9977,0
4,1,0,10.0,1.70509e-06,-2.07681e-07,8.6456e-05,0.21842,0.0136532,15.9977,0
5,1,0,9.99999,1.60259e-06,-3.36223e-07,8.75097e-05,0.218269,0.0136437,15.9977,0
6,1,0,10.0,1.50562e-06,-4.42994e-07,8.77733e-05,0.218208,0.0136399,15.9977,0
7,1,0,10.0,1.40645e-06,-5.21459e-07,8.71101e-05,0.218182,0.0136383,15.9977,0
8,1,0,10.0,1.32181e-06,-6.12344e-07,8.5432e-05,0.218172,0.0136377,15.9977,0
9,1,0,10.0,1.29169e-06,-6.7447e-07,8.27678e-05,0.218167,0.0136374,15.9977,0
10,1,0,10.0,1.20613e-06,-7.22357e-07,7.92296e-05,0.218166,0.0136373,15.9977,0
